feature,mean_abs_shap
num__term,0.4526618
num__installment,0.25493094
num__fico_range_high,0.16046894
num__dti,0.15808013
num__acc_open_past_24mths,0.14496274
num__annual_inc,0.14490966
num__inq_last_6mths,0.080152914
num__mo_sin_old_rev_tl_op,0.07077325
num__funded_amnt_inv,0.068362534
num__num_tl_op_past_12m,0.0665867
num__mths_since_recent_bc,0.06334926
cat__home_ownership_RENT,0.06193771
num__total_bc_limit,0.056065325
num__tot_hi_cred_lim,0.050712254
num__bc_open_to_buy,0.04860333
cat__purpose_credit_card,0.046841778
num__emp_length,0.043984864
num__total_il_high_credit_limit,0.04162504
num__mo_sin_rcnt_rev_tl_op,0.0406543
num__num_rev_tl_bal_gt_0,0.039083257
num__num_il_tl,0.03809967
num__mo_sin_rcnt_tl,0.03802754
num__total_rev_hi_lim,0.03659093
num__revol_bal,0.03588923
num__credit_age_months,0.035885267
num__total_acc,0.03566292
num__all_util,0.03564138
num__mort_acc,0.034519438
cat__home_ownership_MORTGAGE,0.034512226
num__revol_util,0.033380363
num__mths_since_last_delinq,0.03212762
num__pct_tl_nvr_dlq,0.030963574
num__fico_range_low,0.0304381
num__avg_cur_bal,0.029641924
num__mths_since_rcnt_il,0.029473588
num__bc_util,0.027524445
num__mo_sin_old_il_acct,0.026157571
num__max_bal_bc,0.025559632
num__total_cu_tl,0.024712509
num__loan_amnt,0.02408914
num__total_bal_il,0.02262249
cat__verification_status_Not Verified,0.022491131
num__num_rev_accts,0.020706771
num__tot_cur_bal,0.017423328
cat__verification_status_Verified,0.01695623
num__num_bc_sats,0.015735177
num__mths_since_recent_bc_dlq,0.015600912
num__delinq_2yrs,0.015362604
num__total_bal_ex_mort,0.014470464
num__mths_since_last_record,0.014335166
cat__purpose_other,0.014024266
num__num_actv_rev_tl,0.0134183625
cat__purpose_small_business,0.013408824
num__num_actv_bc_tl,0.012746008
num__mths_since_last_major_derog,0.011182222
num__funded_amnt,0.010448661
cat__purpose_debt_consolidation,0.008052795
num__open_rv_24m,0.006778392
num__open_acc_6m,0.0066912696
num__mths_since_recent_revol_delinq,0.00664811
num__num_bc_tl,0.0066103325
num__num_op_rev_tl,0.0062471484
cat__verification_status_Source Verified,0.005436842
num__tot_coll_amt,0.004331998
num__pub_rec_bankruptcies,0.004191832
num__il_util,0.004002308
cat__initial_list_status_f,0.0039344993
cat__purpose_medical,0.0038720577
cat__purpose_moving,0.003793105
num__open_acc,0.0036575836
num__num_sats,0.003351564
num__num_accts_ever_120_pd,0.0032282677
num__collections_12_mths_ex_med,0.003127585
num__dti_joint,0.0027063417
num__open_act_il,0.002705564
num__open_il_24m,0.0019651458
cat__purpose_vacation,0.001661984
num__open_il_12m,0.0016437166
cat__purpose_car,0.001609935
cat__home_ownership_OWN,0.0015804649
num__open_rv_12m,0.0012457389
num__num_tl_120dpd_2m,0.0010640522
cat__initial_list_status_w,0.000904866
num__annual_inc_joint,0.0008950325
num__pub_rec,0.00078670675
cat__purpose_home_improvement,0.00063135463
num__num_tl_90g_dpd_24m,0.00055077835
num__delinq_amnt,0.0004958421
num__chargeoff_within_12_mths,0.00049518555
cat__purpose_major_purchase,0.00047872553
cat__purpose_house,0.00028620707
cat__purpose_wedding,0.00023555628
num__tax_liens,0.00016908873
cat__purpose_renewable_energy,0.00014603468
num__num_tl_30dpd,4.1185765e-05
cat__purpose_educational,3.0568382e-05
cat__verification_status_joint_Not Verified,0.0
cat__home_ownership_OTHER,0.0
num__acc_now_delinq,0.0
cat__home_ownership_NONE,0.0
cat__home_ownership_ANY,0.0
cat__disbursement_method_Cash,0.0
cat__application_type_Joint App,0.0
cat__application_type_Individual,0.0
cat__verification_status_joint_nan,0.0
